[2025-10-20 11:32:17] [INFO    ] discord.client: logging in using static token
[2025-10-20 11:32:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-20 11:32:17] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-20 11:32:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1408102649307336745', 'username': 'STORAGER2.2', 'avatar': '3e194336ea146814a6855991ad3e7d23', 'discriminator': '0163', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '7e98f47ce1aa9078efc43005e8a6f9fb', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-20 11:32:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-20 11:32:17] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-20 11:32:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1408102649307336745', 'name': 'STORAGER2.2', 'icon': '3e194336ea146814a6855991ad3e7d23', 'description': '', 'type': None, 'bot': {'id': '1408102649307336745', 'username': 'STORAGER2.2', 'avatar': '3e194336ea146814a6855991ad3e7d23', 'discriminator': '0163', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '7e98f47ce1aa9078efc43005e8a6f9fb', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '5df20da45fa5aedb469151ce53d17a0a87434ded6d3e9ec7cfc7968c7904665a', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1160524932237762673', 'username': 'st0rager', 'avatar': 'e95274f7f3cae7a4e6f68fcb89777693', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 11481003, 'global_name': 'storager.kkr', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#af2fab', 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-20 11:32:18] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-20 11:32:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-q6t0",{"micros":0.0}]']}}
[2025-10-20 11:32:18] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-20 11:32:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
